shortName,symbol,fullExchangeName,dividendDate,trailingAnnualDividendRate,trailingAnnualDividendYield
AfterNext HealthTech Acquisitio,AFTR,NYSE,,0.0,0.0
,AFTR-WS,,,,
Pacer CSOP FTSE China A50 ETF,AFTY,NYSEArca,,,
Afya Limited,AFYA,NasdaqGS,,0.0,0.0
First Majestic Silver Corp.,AG,NYSE,2023-03-23 19:00:00,0.024,0.003468208
African Gold Acquisition Corpor,AGAC,NYSE,,0.0,0.0
Allied Gaming & Entertainment I,AGAE,NasdaqCM,,0.0,0.0
AGBA Group Holding Limited,AGBA,NasdaqCM,,0.0,0.0
AGBA Acquisition Limited,AGBAW,NasdaqCM,,0.0,0.0
AGCO Corporation,AGCO,NYSE,2023-03-14 19:00:00,0.92,0.007617786
Aberdeen Global Dynamic Dividen,AGD,NYSE,2019-01-30 18:00:00,0.78,0.08773903
"AgeX Therapeutics, Inc.",AGE,NYSE American,,0.0,0.0
Agenus Inc.,AGEN,NasdaqCM,,0.0,0.0
"AgroFresh Solutions, Inc.",AGFS,NasdaqGS,,0.0,0.0
Agrify Corporation,AGFY,NasdaqCM,,0.0,0.0
iShares Core U.S. Aggregate Bon,AGG,NYSEArca,,2.48,0.024982372
Simplify Exchange Traded Funds ,AGGH,NYSEArca,,,
Agile Growth Corp.,AGGR,NasdaqCM,,0.0,0.0
Agile Growth Corp.,AGGRU,NasdaqCM,,0.0,0.0
Agile Growth Corp. Warrant.,AGGRW,NasdaqCM,,,
WisdomTree Yield Enhanced U.S. ,AGGY,NYSEArca,,0.0,0.0
Alamos Gold Inc.,AGI,NYSE,2023-03-29 19:00:00,0.1,0.0094161965
iShares U.S. ETF Trust iShares ,AGIH,NYSEArca,,0.0,0.0
"AgileThought, Inc.",AGIL,NasdaqCM,,0.0,0.0
,AGILW,NasdaqCM,,,
"Agios Pharmaceuticals, Inc.",AGIO,NasdaqGS,,0.0,0.0
"agilon health, inc.",AGL,NYSE,,0.0,0.0
"Aeglea BioTherapeutics, Inc.",AGLE,NasdaqGM,,0.0,0.0
Federal Agricultural Mortgage C,AGM,NYSE,2023-03-30 19:00:00,3.8,0.030175494
Federal Agricultural Mortgage C,AGM-A,NYSE,2023-03-30 19:00:00,3.8,0.03505535
AGM Group Holdings Inc.,AGMH,NasdaqCM,,0.0,0.0
AGNC Investment Corp.,AGNC,NasdaqGS,2023-03-08 18:00:00,1.44,0.14560162
AGNC Investment Corp. - Deposit,AGNCL,NasdaqGS,2023-01-16 18:00:00,1.44,0.06703911
AGNC Investment Corp. - Deposit,AGNCM,NasdaqGS,2023-01-16 18:00:00,1.44,0.067447305
AGNC Investment Corp. - Deposit,AGNCN,NasdaqGS,2023-01-16 18:00:00,1.44,0.05935697
AGNC Investment Corp. - Deposit,AGNCO,NasdaqGS,2023-01-16 18:00:00,1.44,0.07111111
AGNC Investment Corp. - Deposit,AGNCP,NasdaqGS,2023-01-16 18:00:00,1.44,0.07619048
Global X Aging Population ETF,AGNG,NasdaqGM,,,
Assured Guaranty Ltd.,AGO,NYSE,2023-03-21 19:00:00,1.0,0.020169422
ETC Gavekal Asia Pacific Govern,AGOV,NYSEArca,,,
Adaptive Alpha Opportunities ET,AGOX,NYSEArca,,,
ProShares Ultra Silver,AGQ,NYSEArca,,,
"Avangrid, Inc.",AGR,NYSE,2023-04-02 19:00:00,1.76,0.04424334
iShares U.S. ETF Trust iShares ,AGRH,NYSEArca,,0.0,0.0
AgriFORCE  Growing Systems Ltd.,AGRI,NasdaqCM,,0.0,0.0
AgriFORCE  Growing Systems Ltd. Warrant,AGRIW,NasdaqCM,,0.0,0.0
Adecoagro S.A.,AGRO,NYSE,2022-11-16 18:00:00,0.0,0.0
"Agile Therapeutics, Inc.",AGRX,NasdaqCM,,0.0,0.0
"PlayAGS, Inc.",AGS,NYSE,,0.0,0.0
,AGTC,,,,
"Agiliti, Inc.",AGTI,NYSE,,0.0,0.0
"Argan, Inc.",AGX,NYSE,2023-01-30 18:00:00,1.0,0.024820054
"Agilysys, Inc.",AGYS,NasdaqGS,2009-08-02 19:00:00,0.0,0.0
iShares  Agency Bond ETF,AGZ,NYSEArca,,,
WisdomTree Interest Rate Hedged,AGZD,NasdaqGM,2017-05-25 19:00:00,0.0,0.0
AdaptHealth Corp.,AHCO,NasdaqCM,,0.0,0.0
Akso Health Group,AHG,NasdaqGM,2020-08-23 19:00:00,0.0,0.0
"Armada Hoffler Properties, Inc.",AHH,NYSE,2023-04-05 19:00:00,0.72,0.060200673
Adaptive High Income ETF,AHHX,NYSEArca,,,
Advanced Health Intelligence Lt,AHI,NasdaqCM,,0.0,0.0
Tidal ETF Trust Newday Ocean He,AHOY,NYSEArca,,,
Ahren Acquisition Corp.,AHRN,NasdaqGM,,0.0,0.0
Ahren Acquisition Corp.,AHRNU,NasdaqGM,,0.0,0.0
Ahren Acquisition Corp. Warrant,AHRNW,NasdaqGM,,0.0,0.0
